"Categoría","Concepto / Comando","Descripción / Ejemplo"
"Definición","Base de datos","Colección organizada de datos relacionados, gestionados por un SGBD."
"SGBD / DBMS","Sistema Gestor de BD","Software para almacenar, manipular y recuperar datos (ej: MySQL, Oracle, SQL Server)."
"Estructura","Campo (Atributo)","Columna de una tabla, representa una característica."
"","Registro (Tupla)","Fila de una tabla, conjunto de valores relacionados."
"","Tabla (Relación)","Conjunto de registros con la misma estructura."
"","Clave primaria","Identificador único de cada registro."
"","Clave foránea","Atributo que referencia una clave primaria en otra tabla."
"","Dominio","Conjunto de valores válidos para un campo."
"","Cardinalidad","Número de filas de una tabla."
"","Grado","Número de columnas de una tabla."
"Ventajas","Integridad, seguridad, etc.","Elimina redundancia, mejora seguridad, facilita acceso concurrente, independencia de datos."
"Redundancia","Redundancia de datos","Duplicación innecesaria de información, puede causar inconsistencias."
"Normalización","1FN, 2FN, 3FN","Proceso para organizar datos y evitar redundancias."
"Lenguaje SQL","SELECT","Consulta datos:SELECT nombre FROM empleados;"
"","INSERT","Agrega registros:INSERT INTO clientes (id, nombre) VALUES (1, 'Ana');"
"","UPDATE","Modifica registros:UPDATE productos SET precio = 10 WHERE id = 1;"
"","DELETE","Elimina registros:DELETE FROM ventas WHERE fecha < '2024-01-01';"
"","CREATE TABLE","Crea tablas:CREATE TABLE empleados (id INT, nombre VARCHAR(50));"
"","ALTER TABLE","Modifica estructura de tablas."
"","DROP TABLE","Elimina tablas."
"Consultas","WHERE","Filtra filas:WHERE salario > 1000"
"","GROUP BY","Agrupa resultados:GROUP BY departamento"
"","HAVING","Filtra grupos:HAVING COUNT(*) > 5"
"","ORDER BY","Ordena resultados:ORDER BY precio DESC"
"","JOIN","Une tablas:SELECT * FROM A JOIN B ON A.id = B.a_id"
"Agregación","AVG(), COUNT(), SUM(), MAX()","Funciones para calcular promedios, conteos, sumas, máximos, etc."
"Transacciones","Propiedades ACID","Atomicidad, Consistencia, Aislamiento, Durabilidad."
"Excepciones","Manejo de errores","Procesamiento de errores para asegurar integridad y continuidad."
"Terminología moderna","Big Data","Grandes volúmenes de datos, caracterizados por Volumen, Velocidad, Variedad."
"","Data Mining","Minería de datos: descubrimiento de patrones y tendencias en grandes conjuntos de datos."
"","Data Warehouse","Almacén de datos centralizado para análisis histórico."
"","Data Lake","Repositorio de datos en bruto, estructurados y no estructurados."
"","Business Intelligence (BI)","Herramientas y procesos para análisis y visualización de datos empresariales."
"","NoSQL","Bases de datos no relacionales, diseñadas para escalabilidad y variedad de datos."
"","Machine Learning","Aprendizaje automático a partir de datos para predicción y clasificación."
"","IoT (Internet of Things)","Dispositivos conectados que generan y envían datos automáticamente."
"","Cloud Computing","Servicios de almacenamiento y procesamiento de datos en la nube."
"","Data Brokerage / Corretaje de datos","Compra y venta de datos personales o empresariales."
"","Monetización de datos","Proceso de generar ingresos a partir de los datos."